source,model,method,model_type,win_rate,baseline,improvement
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,18.944099378881987,19.32,-0.3759006211180136
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,17.82608695652174,19.32,-1.493913043478262
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,17.70186335403727,19.32,-1.618136645962732
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,17.267080745341616,19.32,-2.0529192546583843
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,17.70186335403727,19.32,-1.618136645962732
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,18.509316770186334,19.32,-0.8106832298136659
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,19.81366459627329,19.32,0.49366459627329107
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,0.4968944099378882,19.32,-18.823105590062113
ru,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.0,19.32,-19.32
de,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,16.024844720496894,15.28,0.7448447204968947
de,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,14.534161490683232,15.28,-0.7458385093167674
de,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,16.273291925465838,15.28,0.9932919254658383
de,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,14.658385093167702,15.28,-0.6216149068322974
de,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,14.906832298136646,15.28,-0.3731677018633537
de,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,14.96894409937888,15.28,-0.31105590062111865
de,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,3.1055900621118013,15.28,-12.174409937888198
de,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,3.1055900621118013,15.28,-12.174409937888198
de,mapo_enesru_llama3_8b_npo,mapo,npo,2.484472049689441,15.28,-12.795527950310559
en,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,20.80745341614907,22.61,-1.8025465838509298
en,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,20.062111801242235,22.61,-2.5478881987577644
en,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,19.006211180124225,22.61,-3.603788819875774
en,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,20.372670807453417,22.61,-2.237329192546582
en,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,21.366459627329192,22.61,-1.2435403726708074
