source, model                                     , method , model_type       , length_controlled_winrate, baseline, improvement
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-10, lacomsa, npo_checkpoint-10,    18.871063799382252    ,    16.39, 2.4810637993822517
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-20, lacomsa, npo_checkpoint-20,    17.32496051359594     ,    16.39, 0.9349605135959393
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-30, lacomsa, npo_checkpoint-30,     0.7501032645569883   ,    16.39, -15.639896735443012
fr    , lacomsa_enesru_llama3_8b_npo              , lacomsa, npo              ,     0.3505598707255502   ,    16.39, -16.03944012927445
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-1 , lacomsa, npo_checkpoint-1 ,    14.12722604680826     ,    14.77, -0.6427739531917389
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-2 , lacomsa, npo_checkpoint-2 ,    12.600514817981285    ,    14.77, -2.1694851820187147
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-3 , lacomsa, npo_checkpoint-3 ,    11.884172899448854    ,    14.77, -2.885827100551145
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-4 , lacomsa, npo_checkpoint-4 ,    11.892639092117657    ,    14.77, -2.877360907882343
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-5 , lacomsa, npo_checkpoint-5 ,    12.97650077305805     ,    14.77, -1.7934992269419503
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-10, lacomsa, npo_checkpoint-10,    13.054567365029882    ,    14.77, -1.7154326349701172
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-20, lacomsa, npo_checkpoint-20,    14.854031254930918    ,    14.77, 0.08403125493091856
ru    , lacomsa_enesru_llama3_8b_npo_checkpoint-30, lacomsa, npo_checkpoint-30,     0.3289520680592987   ,    14.77, -14.441047931940702
ru    , lacomsa_enesru_llama3_8b_npo              , lacomsa, npo              ,     0.0001758042505879285,    14.77, -14.769824195749411
de    , mapo_enesru_llama3_8b_npo_checkpoint-1    , mapo   , npo_checkpoint-1 ,    13.800195297709989    ,    12.86, 0.9401952977099892
de    , mapo_enesru_llama3_8b_npo_checkpoint-2    , mapo   , npo_checkpoint-2 ,    12.217804747949316    ,    12.86, -0.6421952520506835
de    , mapo_enesru_llama3_8b_npo_checkpoint-3    , mapo   , npo_checkpoint-3 ,    13.756686007656679    ,    12.86, 0.8966860076566796
de    , mapo_enesru_llama3_8b_npo_checkpoint-4    , mapo   , npo_checkpoint-4 ,    13.022265986259224    ,    12.86, 0.16226598625922506
de    , mapo_enesru_llama3_8b_npo_checkpoint-5    , mapo   , npo_checkpoint-5 ,    13.171414411266033    ,    12.86, 0.31141441126603375
de    , mapo_enesru_llama3_8b_npo_checkpoint-10   , mapo   , npo_checkpoint-10,    11.979340012080797    ,    12.86, -0.8806599879192021
de    , mapo_enesru_llama3_8b_npo_checkpoint-20   , mapo   , npo_checkpoint-20,     1.056808849718744    ,    12.86, -11.803191150281256
de    , mapo_enesru_llama3_8b_npo_checkpoint-30   , mapo   , npo_checkpoint-30,     0.939292666261898    ,    12.86, -11.920707333738102
de    , mapo_enesru_llama3_8b_npo                 , mapo   , npo              ,     0.6499020230382654   ,    12.86, -12.210097976961734
