source,model,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40
en,lacomsa_enesru_llama3_8b_npo_checkpoint-5,19.93789,1.404928,community,1644,159,643,3,805,19.93789,19.94951,0.262239,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo_checkpoint-10,21.67702,1.449177,community,1647,173,629,3,805,21.67702,22.24942,0.242247,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo_checkpoint-20,18.4472,1.363665,community,1584,147,655,3,805,18.4472,18.75221,0.320423,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo_checkpoint-30,1.118012,0.370812,community,3302,9,796,0,805,1.118012,0.67262,0.051808,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo,0.248447205,0.1755694165,community,4796,2,803,0,805,0.248447205,0.1276444537,0.009339116242,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_w-reinforce_10.0_1.0,22.1118,1.46095,community,1722,177,626,2,805,22.1118,21.19466,0.303774,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_w-reinforce_0.1_1.0,19.93789,1.404928,community,1557,159,643,3,805,19.93789,22.18859,0.265932,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_w-reinforce,16.64596273,1.31073686,community,1688,133,670,2,805,16.64596273,14.5718008,0.1896316102,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_dpo,16.02484472,1.290742798,community,1657,128,675,2,805,16.02484472,14.41466249,0.2303827364,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_ppo,16.08695652,1.294265909,community,1900,129,675,1,805,16.08695652,13.8147405,0.2304192688,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_sft,18.26086957,1.359697261,community,1811,146,657,2,805,18.26086957,16.75691281,0.2893630498,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_dpo_250426,18.19876,1.359313,community,1632,146,658,1,805,18.19876,16.57721,0.210516,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-1,16.8323,1.318071,community,1644,135,669,1,805,16.8323,15.49713,0.228433,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-2,16.70807,1.31417,community,1689,134,670,1,805,16.70807,14.9565,0.222714,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-3,15.65217,1.278416,community,1633,125,678,2,805,15.65217,14.11987,0.218531,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-4,15.71429,1.281996,community,1632,126,678,1,805,15.71429,14.12756,0.234287,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-5,16.27329,1.298822,community,1631,130,673,2,805,16.27329,14.5445,0.24474,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-10,14.90683,1.252986,community,1630,119,684,2,805,14.90683,13.57772,0.204907,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-20,17.01863,1.316559,community,1627,134,665,6,805,17.01863,15.58854,0.274221,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo_checkpoint-30,1.801242,0.464905,community,2924,14,790,1,805,1.801242,1.196132,0.056913,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_npo,0.5590062112,0.2554932385,community,4069,4,800,1,805,0.5590062112,0.3058440503,0.01853182778,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_w-reinforce_0.1_1.0,18.4472,1.357988,community,1589,145,653,7,805,18.4472,17.99642,0.237731,,,,,,,,,,,,,,,,,,,,,,,,
es,lacomsa_enesru_llama3_8b_w-reinforce_10.0_1.0,15.65217,1.278416,community,1735,125,678,2,805,15.65217,13.22712,0.219064,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_w-reinforce,20.2484472,1.411758874,community,1753,161,640,4,805,20.2484472,16.48476665,0.3084193795,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_ppo,18.44720497,,,,,,,,,15.59419984,,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_dpo,19.7515528,1.398564065,community,1743,157,644,4,805,19.7515528,16.21284534,0.2752277967,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_sft,17.32919255,1.333417014,community,2050,139,665,1,805,17.32919255,15.480417,0.2304014397,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_dpo_250426,17.01863,1.31949,community,1692,135,666,4,805,17.01863,14.51823,0.241618,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-1,17.57764,1.338055,community,1741,140,662,3,805,17.57764,14.36974,0.236761,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-2,17.70186,1.341786,community,1724,141,661,3,805,17.70186,15.02923,0.247633,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-3,18.13665,1.353227,community,1781,144,657,4,805,18.13665,15.48745,0.242989,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-4,17.08075,1.322878,community,1743,136,666,3,805,17.08075,14.71709,0.245239,,,,,,,,,,,,,,,,,,,,,,,,
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-5,19.44099,1.39153,community,1758,155,647,3,805,19.44099,17.35886,0.235963,,,,,,,,,,,,,,,,,,,,,,,,
