model,language,layer,mean,std,mean_pm_std,n
base-sft-dpo,ru,7,0.12933990700834058,0.001073503082984405,0.129340 +- 0.001074,3
base-sft-dpo,ru,8,0.11784854871788933,0.0011560206317784876,0.117849 +- 0.001156,3
base-sft-dpo,ru,9,0.12524198944514947,0.0008360744602924919,0.125242 +- 0.000836,3
base-sft-dpo,ru,10,0.1302294887581572,0.0007565699223455398,0.130229 +- 0.000757,3
base-sft-dpo,ru,11,0.12981099683983524,0.0005624175742386314,0.129811 +- 0.000562,3
base-sft-dpo,ru,12,0.11695051483077194,0.0005198387228463875,0.116951 +- 0.000520,3
base-sft-dpo,ru,13,0.1107195011141612,0.0009480765985970546,0.110720 +- 0.000948,3
base-sft-dpo,ru,14,0.13710944141309067,0.0010575853404039108,0.137109 +- 0.001058,3
base-sft-dpo,ru,15,0.11827115610287313,0.0011699156615026455,0.118271 +- 0.001170,3
base-sft-dpo,ru,16,0.14110724815982764,0.0016510309538344677,0.141107 +- 0.001651,3
base-sft-dpo,ru,17,0.16335485607493264,0.0011209573593462653,0.163355 +- 0.001121,3
base-sft-dpo,ru,18,0.18281639786492646,0.0016575438031795843,0.182816 +- 0.001658,3
base-sft-dpo,ru,19,0.18944007620467987,0.001620333975911856,0.189440 +- 0.001620,3
base-sft-dpo,ru,20,0.20622955114880842,0.001969743215966554,0.206230 +- 0.001970,3
base-sft-dpo,ru,21,0.2051816114236726,0.0010751384928233874,0.205182 +- 0.001075,3
base-sft-dpo,ru,22,0.23868036443037927,0.0013844035288012066,0.238680 +- 0.001384,3
base-sft-dpo,ru,23,0.24359317747761605,0.0016422969484281584,0.243593 +- 0.001642,3
base-sft-dpo,ru,24,0.2959505068682173,0.0022260563911734,0.295951 +- 0.002226,3
base-sft-dpo,ru,25,0.29399418660732257,0.0021846998358434357,0.293994 +- 0.002185,3
base-sft-dpo,ru,26,0.34000080387028575,0.002612294917546507,0.340001 +- 0.002612,3
base-sft-dpo,ru,27,0.40496887792724795,0.0032595926949239864,0.404969 +- 0.003260,3
base-sft-dpo,ru,28,0.40406040008245686,0.0033546297033523655,0.404060 +- 0.003355,3
base-sft-dpo,ru,29,0.39753765345199904,0.0029012001335480997,0.397538 +- 0.002901,3
base-sft-dpo,ru,30,0.4297450781320964,0.0035671885507565925,0.429745 +- 0.003567,3
base-sft-dpo,ru,31,0.39941985554631426,0.002838904487795563,0.399420 +- 0.002839,3
icr_dpo_ckpt36,de,0,0.41771387677671046,0.005773329492980165,0.417714 +- 0.005773,3
icr_dpo_ckpt36,de,1,0.2725192522980892,0.009139094115841814,0.272519 +- 0.009139,3
icr_dpo_ckpt36,de,2,0.22166175988815826,0.008146643301166948,0.221662 +- 0.008147,3
icr_dpo_ckpt36,de,3,0.19420273467635332,0.006477704972944195,0.194203 +- 0.006478,3
icr_dpo_ckpt36,de,4,0.1796073225143205,0.0051795914668505225,0.179607 +- 0.005180,3
icr_dpo_ckpt36,de,5,0.1904453455356409,0.004633431182438224,0.190445 +- 0.004633,3
icr_dpo_ckpt36,de,6,0.18568877023830355,0.004215030573364266,0.185689 +- 0.004215,3
icr_dpo_ckpt36,de,7,0.16755320752828248,0.0021354612377720255,0.167553 +- 0.002135,3
icr_dpo_ckpt36,de,8,0.14624764101111773,0.0015227601805935182,0.146248 +- 0.001523,3
icr_dpo_ckpt36,de,9,0.14997211955175047,0.00193417861251282,0.149972 +- 0.001934,3
icr_dpo_ckpt36,de,10,0.1580699792910909,0.0024263822165720224,0.158070 +- 0.002426,3
icr_dpo_ckpt36,de,11,0.1546975938484195,0.002472227846815456,0.154698 +- 0.002472,3
icr_dpo_ckpt36,de,12,0.14181446520852334,0.0014413608945132012,0.141814 +- 0.001441,3
icr_dpo_ckpt36,de,13,0.1372223395057556,0.0017840588381674634,0.137222 +- 0.001784,3
icr_dpo_ckpt36,de,14,0.1663172982018752,0.0023223552805037794,0.166317 +- 0.002322,3
icr_dpo_ckpt36,de,15,0.1448311546480723,0.001898396232376033,0.144831 +- 0.001898,3
icr_dpo_ckpt36,de,16,0.16535562403439844,0.0013444458438887372,0.165356 +- 0.001344,3
icr_dpo_ckpt36,de,17,0.18793646630032998,0.0014988820187917461,0.187936 +- 0.001499,3
icr_dpo_ckpt36,de,18,0.23422067943850292,0.002010569803628183,0.234221 +- 0.002011,3
icr_dpo_ckpt36,de,19,0.24003333272621472,0.0018678972328623135,0.240033 +- 0.001868,3
icr_dpo_ckpt36,de,20,0.2645245652577973,0.0021592677870471396,0.264525 +- 0.002159,3
icr_dpo_ckpt36,de,21,0.27086949543560723,0.003210031832012335,0.270869 +- 0.003210,3
icr_dpo_ckpt36,de,22,0.2872493656862141,0.003201702716664156,0.287249 +- 0.003202,3
icr_dpo_ckpt36,de,23,0.33857242623186556,0.003313481343390694,0.338572 +- 0.003313,3
icr_dpo_ckpt36,de,24,0.3911876219313203,0.005487306116331224,0.391188 +- 0.005487,3
icr_dpo_ckpt36,de,25,0.41846718674042027,0.00592354469593181,0.418467 +- 0.005924,3
icr_dpo_ckpt36,de,26,0.47246448948673486,0.007628851349366689,0.472464 +- 0.007629,3
icr_dpo_ckpt36,de,27,0.49449821900653523,0.008130865188079615,0.494498 +- 0.008131,3
icr_dpo_ckpt36,de,28,0.5069244299446243,0.008359742008603128,0.506924 +- 0.008360,3
icr_dpo_ckpt36,de,29,0.49651744013634774,0.007455206317966259,0.496517 +- 0.007455,3
icr_dpo_ckpt36,de,30,0.492497732442435,0.005935252583313941,0.492498 +- 0.005935,3
icr_dpo_ckpt36,de,31,0.449541859170783,0.0009423508983178642,0.449542 +- 0.000942,3
icr_dpo_ckpt36,es,0,0.35599514812006017,0.004393343859359011,0.355995 +- 0.004393,3
icr_dpo_ckpt36,es,1,0.18689842173623195,0.005429133229071901,0.186898 +- 0.005429,3
icr_dpo_ckpt36,es,2,0.15224607126902542,0.004763859523650854,0.152246 +- 0.004764,3
icr_dpo_ckpt36,es,3,0.12887681437380943,0.003998270334804947,0.128877 +- 0.003998,3
icr_dpo_ckpt36,es,4,0.12512076455114127,0.0028533292307179425,0.125121 +- 0.002853,3
icr_dpo_ckpt36,es,5,0.12566631144291668,0.0020826093330247437,0.125666 +- 0.002083,3
icr_dpo_ckpt36,es,6,0.1275324867083546,0.0021546153943146178,0.127532 +- 0.002155,3
icr_dpo_ckpt36,es,7,0.1103422083918471,0.0012049191200239598,0.110342 +- 0.001205,3
icr_dpo_ckpt36,es,8,0.09695407914139562,0.0006745163731654856,0.096954 +- 0.000675,3
icr_dpo_ckpt36,es,9,0.09914803150164327,0.0006379974491447168,0.099148 +- 0.000638,3
icr_dpo_ckpt36,es,10,0.1061595406708316,0.0009397192563413921,0.106160 +- 0.000940,3
icr_dpo_ckpt36,es,11,0.10677600480923784,0.0006917914263324228,0.106776 +- 0.000692,3
icr_dpo_ckpt36,es,12,0.09008782953089692,0.0004531294920540471,0.090088 +- 0.000453,3
icr_dpo_ckpt36,es,13,0.09460785357789692,0.00023524112597349278,0.094608 +- 0.000235,3
icr_dpo_ckpt36,es,14,0.11252819983284683,0.0002597109485198878,0.112528 +- 0.000260,3
icr_dpo_ckpt36,es,15,0.10048990836751741,0.00031644320918025967,0.100490 +- 0.000316,3
icr_dpo_ckpt36,es,16,0.11853290643762869,9.460196061403851e-05,0.118533 +- 0.000095,3
icr_dpo_ckpt36,es,17,0.14111399050862003,0.00042567542409155254,0.141114 +- 0.000426,3
icr_dpo_ckpt36,es,18,0.172343180054136,0.0008609319779494117,0.172343 +- 0.000861,3
icr_dpo_ckpt36,es,19,0.18797214281566033,0.0016544682197183061,0.187972 +- 0.001654,3
icr_dpo_ckpt36,es,20,0.21270367343363797,0.0015720396501840066,0.212704 +- 0.001572,3
icr_dpo_ckpt36,es,21,0.20816529135589876,0.0011511172228638783,0.208165 +- 0.001151,3
icr_dpo_ckpt36,es,22,0.22095517816165527,0.001372861720151209,0.220955 +- 0.001373,3
icr_dpo_ckpt36,es,23,0.24440624026981891,0.001797195240289007,0.244406 +- 0.001797,3
icr_dpo_ckpt36,es,24,0.324652888472062,0.0015059205803059647,0.324653 +- 0.001506,3
icr_dpo_ckpt36,es,25,0.34844426161055686,0.00154939388423592,0.348444 +- 0.001549,3
icr_dpo_ckpt36,es,26,0.4312891581708168,0.0014642934026103123,0.431289 +- 0.001464,3
icr_dpo_ckpt36,es,27,0.4640976508790184,0.002008127455922458,0.464098 +- 0.002008,3
icr_dpo_ckpt36,es,28,0.47643665068852564,0.0023196667562366173,0.476437 +- 0.002320,3
icr_dpo_ckpt36,es,29,0.4794290468446233,0.002016672488901924,0.479429 +- 0.002017,3
icr_dpo_ckpt36,es,30,0.48799981655507413,0.002659903108926183,0.488000 +- 0.002660,3
icr_dpo_ckpt36,es,31,0.4307867167017748,0.004507842065954645,0.430787 +- 0.004508,3
icr_dpo_ckpt36,fr,0,0.3966208185687085,0.012706489268253948,0.396621 +- 0.012706,3
icr_dpo_ckpt36,fr,1,0.24131808628860235,0.010314470068767574,0.241318 +- 0.010314,3
icr_dpo_ckpt36,fr,2,0.20081928826554904,0.009513526010260587,0.200819 +- 0.009514,3
icr_dpo_ckpt36,fr,3,0.16723167078220996,0.008090489243895327,0.167232 +- 0.008090,3
icr_dpo_ckpt36,fr,4,0.15509702974886805,0.0068122319019781495,0.155097 +- 0.006812,3
icr_dpo_ckpt36,fr,5,0.15142817449936016,0.006001997288258706,0.151428 +- 0.006002,3
icr_dpo_ckpt36,fr,6,0.15423231920796562,0.005499763861507841,0.154232 +- 0.005500,3
icr_dpo_ckpt36,fr,7,0.1323499945059323,0.004002472489041555,0.132350 +- 0.004002,3
icr_dpo_ckpt36,fr,8,0.11595420461692417,0.0029598899397549217,0.115954 +- 0.002960,3
icr_dpo_ckpt36,fr,9,0.11904922413189546,0.00300962407984068,0.119049 +- 0.003010,3
icr_dpo_ckpt36,fr,10,0.12444926345067059,0.003248537515290728,0.124449 +- 0.003249,3
icr_dpo_ckpt36,fr,11,0.12541051243325135,0.0034855443890158917,0.125411 +- 0.003486,3
icr_dpo_ckpt36,fr,12,0.10632302575091793,0.0028611232191112276,0.106323 +- 0.002861,3
icr_dpo_ckpt36,fr,13,0.10951752518933099,0.0025066707430091606,0.109518 +- 0.002507,3
icr_dpo_ckpt36,fr,14,0.128598931942166,0.0029312097699311806,0.128599 +- 0.002931,3
icr_dpo_ckpt36,fr,15,0.11508371847148013,0.0024380146858269526,0.115084 +- 0.002438,3
icr_dpo_ckpt36,fr,16,0.13598495339279296,0.0023977579686583917,0.135985 +- 0.002398,3
icr_dpo_ckpt36,fr,17,0.168031716773656,0.0023958485954927184,0.168032 +- 0.002396,3
icr_dpo_ckpt36,fr,18,0.1969143616710548,0.0025310961993077682,0.196914 +- 0.002531,3
icr_dpo_ckpt36,fr,19,0.2220039130722107,0.0024944615651494423,0.222004 +- 0.002494,3
icr_dpo_ckpt36,fr,20,0.24003076510673804,0.002932718768875156,0.240031 +- 0.002933,3
icr_dpo_ckpt36,fr,21,0.25440239048994157,0.0034821922884533795,0.254402 +- 0.003482,3
icr_dpo_ckpt36,fr,22,0.2647915447340021,0.003367131991642337,0.264792 +- 0.003367,3
icr_dpo_ckpt36,fr,23,0.29579542788165347,0.004206694645286164,0.295795 +- 0.004207,3
icr_dpo_ckpt36,fr,24,0.3652072986185588,0.005328567282100833,0.365207 +- 0.005329,3
icr_dpo_ckpt36,fr,25,0.37896562230352077,0.0051145772198886216,0.378966 +- 0.005115,3
icr_dpo_ckpt36,fr,26,0.4913637209062495,0.006583754155026635,0.491364 +- 0.006584,3
icr_dpo_ckpt36,fr,27,0.5077475228613343,0.006175083994302674,0.507748 +- 0.006175,3
icr_dpo_ckpt36,fr,28,0.5105747867483351,0.006134667112625331,0.510575 +- 0.006135,3
icr_dpo_ckpt36,fr,29,0.5075006267108964,0.005434358938876471,0.507501 +- 0.005434,3
icr_dpo_ckpt36,fr,30,0.500740480981712,0.0039333546380315235,0.500740 +- 0.003933,3
icr_dpo_ckpt36,fr,31,0.4508245606795394,0.0029119485286428558,0.450825 +- 0.002912,3
icr_dpo_ckpt36,ru,0,0.3774570462517989,0.003266026766661019,0.377457 +- 0.003266,3
icr_dpo_ckpt36,ru,1,0.2045472897861177,0.0028098031827072426,0.204547 +- 0.002810,3
icr_dpo_ckpt36,ru,2,0.1750851497130279,0.0013569235484273891,0.175085 +- 0.001357,3
icr_dpo_ckpt36,ru,3,0.1527695100079599,0.0007064966623385217,0.152770 +- 0.000706,3
icr_dpo_ckpt36,ru,4,0.14268117275045417,0.0008229103178084559,0.142681 +- 0.000823,3
icr_dpo_ckpt36,ru,5,0.15144958356244673,0.0011271233151840055,0.151450 +- 0.001127,3
icr_dpo_ckpt36,ru,6,0.1418460086292435,0.0007698969892180512,0.141846 +- 0.000770,3
icr_dpo_ckpt36,ru,7,0.13018185232849708,0.0010779802484709878,0.130182 +- 0.001078,3
icr_dpo_ckpt36,ru,8,0.11890864283444084,0.0011774075656595378,0.118909 +- 0.001177,3
icr_dpo_ckpt36,ru,9,0.12541689892377494,0.0008369216139538024,0.125417 +- 0.000837,3
icr_dpo_ckpt36,ru,10,0.13052656411941793,0.0007685363306567124,0.130527 +- 0.000769,3
icr_dpo_ckpt36,ru,11,0.129969416438364,0.0005877043757524285,0.129969 +- 0.000588,3
icr_dpo_ckpt36,ru,12,0.116676314413723,0.0005165264822510739,0.116676 +- 0.000517,3
icr_dpo_ckpt36,ru,13,0.11116946418319025,0.0009961651066272357,0.111169 +- 0.000996,3
icr_dpo_ckpt36,ru,14,0.13866128742513464,0.001143750745427339,0.138661 +- 0.001144,3
icr_dpo_ckpt36,ru,15,0.11844578019387743,0.0012664203627844113,0.118446 +- 0.001266,3
icr_dpo_ckpt36,ru,16,0.14060502091736488,0.0017962996842298992,0.140605 +- 0.001796,3
icr_dpo_ckpt36,ru,17,0.16304282509754048,0.001259769010820179,0.163043 +- 0.001260,3
icr_dpo_ckpt36,ru,18,0.18258499894415411,0.0017886848593573652,0.182585 +- 0.001789,3
icr_dpo_ckpt36,ru,19,0.18953365502080055,0.0017373365468959566,0.189534 +- 0.001737,3
icr_dpo_ckpt36,ru,20,0.20634569182605159,0.0021037610823817074,0.206346 +- 0.002104,3
icr_dpo_ckpt36,ru,21,0.2053411658394559,0.0010929057805887515,0.205341 +- 0.001093,3
icr_dpo_ckpt36,ru,22,0.23883619929555236,0.001411636243185389,0.238836 +- 0.001412,3
icr_dpo_ckpt36,ru,23,0.24395100867377678,0.0015736284381894865,0.243951 +- 0.001574,3
icr_dpo_ckpt36,ru,24,0.2970595048908865,0.0021263877005230805,0.297060 +- 0.002126,3
icr_dpo_ckpt36,ru,25,0.29530558862203843,0.002104632688194383,0.295306 +- 0.002105,3
icr_dpo_ckpt36,ru,26,0.3427455355901915,0.0025256661569478265,0.342746 +- 0.002526,3
icr_dpo_ckpt36,ru,27,0.40828638396233413,0.0032088648045046544,0.408286 +- 0.003209,3
icr_dpo_ckpt36,ru,28,0.40787737592272166,0.0033470534158427526,0.407877 +- 0.003347,3
icr_dpo_ckpt36,ru,29,0.40203448206544834,0.0029777829584739786,0.402034 +- 0.002978,3
icr_dpo_ckpt36,ru,30,0.4297031518578728,0.0035542844164329714,0.429703 +- 0.003554,3
icr_dpo_ckpt36,ru,31,0.3899731314803933,0.002625970889049309,0.389973 +- 0.002626,3
icr_npo_ckpt10,de,0,0.3987969118711789,0.006425186274911755,0.398797 +- 0.006425,3
icr_npo_ckpt10,de,1,0.2246780660910278,0.008272741660579312,0.224678 +- 0.008273,3
icr_npo_ckpt10,de,2,0.19081008469499852,0.007130150902374773,0.190810 +- 0.007130,3
icr_npo_ckpt10,de,3,0.17445999712227467,0.005759089195194419,0.174460 +- 0.005759,3
icr_npo_ckpt10,de,4,0.16450595796061684,0.004883777598189438,0.164506 +- 0.004884,3
icr_npo_ckpt10,de,5,0.17594806460264037,0.004693493335163553,0.175948 +- 0.004693,3
icr_npo_ckpt10,de,6,0.1718114080348059,0.004300989123074641,0.171811 +- 0.004301,3
icr_npo_ckpt10,de,7,0.15606215114531347,0.002718027861794675,0.156062 +- 0.002718,3
icr_npo_ckpt10,de,8,0.13620165753030686,0.002187742793114607,0.136202 +- 0.002188,3
icr_npo_ckpt10,de,9,0.14029929365258928,0.0023576930234555336,0.140299 +- 0.002358,3
icr_npo_ckpt10,de,10,0.14812649652725723,0.0027077071285690835,0.148126 +- 0.002708,3
icr_npo_ckpt10,de,11,0.1439750636669544,0.0026711479042984994,0.143975 +- 0.002671,3
icr_npo_ckpt10,de,12,0.13346334820102826,0.001975488089552994,0.133463 +- 0.001975,3
icr_npo_ckpt10,de,13,0.12884116098493828,0.0023524361339828056,0.128841 +- 0.002352,3
icr_npo_ckpt10,de,14,0.155801381345312,0.003064461093890141,0.155801 +- 0.003064,3
icr_npo_ckpt10,de,15,0.13789427718238131,0.0025840604258309456,0.137894 +- 0.002584,3
icr_npo_ckpt10,de,16,0.1580627645837853,0.002291931902385881,0.158063 +- 0.002292,3
icr_npo_ckpt10,de,17,0.17984040527608156,0.002462779502219041,0.179840 +- 0.002463,3
icr_npo_ckpt10,de,18,0.22432658163372923,0.003150249427946999,0.224327 +- 0.003150,3
icr_npo_ckpt10,de,19,0.22963519517579006,0.0029412067710188287,0.229635 +- 0.002941,3
icr_npo_ckpt10,de,20,0.2534664658686653,0.0034502561268373536,0.253466 +- 0.003450,3
icr_npo_ckpt10,de,21,0.2593759589433964,0.004355442576929619,0.259376 +- 0.004355,3
icr_npo_ckpt10,de,22,0.27525989192270045,0.0043639435749598205,0.275260 +- 0.004364,3
icr_npo_ckpt10,de,23,0.3245354322952654,0.0046702820427237,0.324535 +- 0.004670,3
icr_npo_ckpt10,de,24,0.3759321637624199,0.006403310350762196,0.375932 +- 0.006403,3
icr_npo_ckpt10,de,25,0.40201504414311184,0.006819053195541052,0.402015 +- 0.006819,3
icr_npo_ckpt10,de,26,0.4532034102897652,0.008268347077521184,0.453203 +- 0.008268,3
icr_npo_ckpt10,de,27,0.47450184909923016,0.008426953398437477,0.474502 +- 0.008427,3
