model,language,layer,mean,std,mean_pm_std,n
icr_dpo_ckpt36,fr,17,0.3400792076460498,0.02272817901307385,0.340079 +- 0.022728,3
icr_dpo_ckpt36,fr,18,0.3294737090707741,0.022248530302284606,0.329474 +- 0.022249,3
icr_dpo_ckpt36,fr,19,0.31500329955571055,0.021230285202249125,0.315003 +- 0.021230,3
icr_dpo_ckpt36,fr,20,0.3026288339953589,0.020710382667892647,0.302629 +- 0.020710,3
icr_dpo_ckpt36,fr,21,0.30407710974676366,0.020606239052136252,0.304077 +- 0.020606,3
icr_dpo_ckpt36,fr,22,0.3031794728479818,0.02171600175796051,0.303179 +- 0.021716,3
icr_dpo_ckpt36,fr,23,0.28523672382461845,0.02108139076587582,0.285237 +- 0.021081,3
icr_dpo_ckpt36,fr,24,0.23967427787140114,0.019661442327453114,0.239674 +- 0.019661,3
icr_dpo_ckpt36,fr,25,0.22509695306285527,0.019295553411999723,0.225097 +- 0.019296,3
icr_dpo_ckpt36,fr,26,0.1471254563711003,0.016775224429992137,0.147125 +- 0.016775,3
icr_dpo_ckpt36,fr,27,0.12586111994158616,0.01537479915069092,0.125861 +- 0.015375,3
icr_dpo_ckpt36,fr,28,0.11117182935209126,0.015425771946372315,0.111172 +- 0.015426,3
icr_dpo_ckpt36,fr,29,0.11174370017115415,0.014749455999461208,0.111744 +- 0.014749,3
icr_dpo_ckpt36,fr,30,0.11818092305719126,0.014124719094126338,0.118181 +- 0.014125,3
icr_dpo_ckpt36,fr,31,0.1904254024101693,0.00999256889542911,0.190425 +- 0.009993,3
icr_dpo_ckpt36,ru,0,-0.04430662350640907,0.012334622265178249,-0.044307 +- 0.012335,3
icr_dpo_ckpt36,ru,1,-0.1577215486962698,0.02347980783356581,-0.157722 +- 0.023480,3
icr_dpo_ckpt36,ru,2,-0.08997021972343122,0.025241914489973656,-0.089970 +- 0.025242,3
icr_dpo_ckpt36,ru,3,0.07465039104986486,0.02839592042151903,0.074650 +- 0.028396,3
icr_dpo_ckpt36,ru,4,0.14782635919954204,0.03177033568446694,0.147826 +- 0.031770,3
icr_dpo_ckpt36,ru,5,0.17417290493485185,0.032567042375453534,0.174173 +- 0.032567,3
icr_dpo_ckpt36,ru,6,0.1965358790222994,0.028164714464856744,0.196536 +- 0.028165,3
icr_dpo_ckpt36,ru,7,0.21564286711479566,0.024646582898395997,0.215643 +- 0.024647,3
icr_dpo_ckpt36,ru,8,0.23250750709256943,0.024715302368412937,0.232508 +- 0.024715,3
icr_dpo_ckpt36,ru,9,0.22438325245295332,0.023878733565355064,0.224383 +- 0.023879,3
icr_dpo_ckpt36,ru,10,0.21809385517679583,0.021698024094642394,0.218094 +- 0.021698,3
icr_dpo_ckpt36,ru,11,0.1985078834487665,0.02133611274245009,0.198508 +- 0.021336,3
icr_dpo_ckpt36,ru,12,0.19588675929076432,0.018788676614184492,0.195887 +- 0.018789,3
icr_dpo_ckpt36,ru,13,0.24019669546507677,0.019895901758775814,0.240197 +- 0.019896,3
icr_dpo_ckpt36,ru,14,0.24200967260859468,0.01962336610121998,0.242010 +- 0.019623,3
icr_dpo_ckpt36,ru,15,0.30234266815158023,0.021323255985504795,0.302343 +- 0.021323,3
icr_dpo_ckpt36,ru,16,0.2963186372244637,0.021574780960923745,0.296319 +- 0.021575,3
icr_dpo_ckpt36,ru,17,0.30523256962784906,0.021811258360181808,0.305233 +- 0.021811,3
icr_dpo_ckpt36,ru,18,0.2976310306824329,0.02161786242118586,0.297631 +- 0.021618,3
icr_dpo_ckpt36,ru,19,0.2912275905064023,0.021141807433344616,0.291228 +- 0.021142,3
icr_dpo_ckpt36,ru,20,0.2788002141451701,0.020444175367389166,0.278800 +- 0.020444,3
icr_dpo_ckpt36,ru,21,0.28853750597315475,0.021570933554042413,0.288538 +- 0.021571,3
icr_dpo_ckpt36,ru,22,0.2735267374671995,0.022034209398625652,0.273527 +- 0.022034,3
icr_dpo_ckpt36,ru,23,0.267232899099533,0.021549997117021095,0.267233 +- 0.021550,3
icr_dpo_ckpt36,ru,24,0.22955946402684543,0.019173815310253604,0.229559 +- 0.019174,3
icr_dpo_ckpt36,ru,25,0.22379834191740544,0.018885912702517858,0.223798 +- 0.018886,3
icr_dpo_ckpt36,ru,26,0.17952727754320827,0.015316962507605197,0.179527 +- 0.015317,3
icr_dpo_ckpt36,ru,27,0.11918998655627161,0.010753851660919153,0.119190 +- 0.010754,3
icr_dpo_ckpt36,ru,28,0.10578771636031288,0.010190323888150707,0.105788 +- 0.010190,3
icr_dpo_ckpt36,ru,29,0.10725665307925435,0.010312040466723784,0.107257 +- 0.010312,3
icr_dpo_ckpt36,ru,30,0.08770956998768663,0.009828622347916288,0.087710 +- 0.009829,3
icr_dpo_ckpt36,ru,31,0.1852788468179942,0.0168611601621104,0.185279 +- 0.016861,3
icr_npo_ckpt10,de,0,-0.03567735279294689,0.01106101384526645,-0.035677 +- 0.011061,3
icr_npo_ckpt10,de,1,-0.22438027241655495,0.016471782195341688,-0.224380 +- 0.016472,3
icr_npo_ckpt10,de,2,-0.130477062569349,0.018293907911321506,-0.130477 +- 0.018294,3
icr_npo_ckpt10,de,3,0.039927029118845936,0.019641596352020348,0.039927 +- 0.019642,3
icr_npo_ckpt10,de,4,0.1220151960550688,0.020812494648456983,0.122015 +- 0.020812,3
icr_npo_ckpt10,de,5,0.15249190129910917,0.020872835685738823,0.152492 +- 0.020873,3
