,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_ma_lacomsa_top1_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,15.37,20.25,1.42,community,1911,163,642,0,805,20.25,0.25
llama3_8b_max_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,15.25,18.01,1.36,community,1767,145,660,0,805,18.01,0.19
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,15.20,21.61,1.45,community,1941,174,631,0,805,21.61,0.21
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,15.16,17.39,1.34,community,1651,140,665,0,805,17.39,0.17
llama3_8b_ma_lacomsa_top30_bottom3_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,15.16,19.50,1.39,community,1837,156,647,2,805,19.50,0.24
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,15.16,17.08,1.32,community,1667,136,666,3,805,17.08,0.20
llama3_8b_ms01_ma_lacomsa_-1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,15.11,19.25,1.39,community,2052,155,650,0,805,19.25,0.21
lacomsa_w-reinforce_random,14.79,17.58,1.34,community,1745,141,663,1,805,17.58,0.25
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,14.74,18.82,1.38,community,1763,151,653,1,805,18.82,0.23
llama3_8b_lacomsa_high_lang_easy_lc_seed43,14.59,17.20,1.33,community,1675,138,666,1,805,17.20,0.24
llama3_8b_ma_lacomsa_top30_corr0.9_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,14.58,18.51,1.37,community,1902,149,656,0,805,18.51,0.20
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,14.35,16.27,1.30,community,1691,131,674,0,805,16.27,0.23
llama3_8b_maxv2_no_norm_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,14.21,18.26,1.36,community,1883,147,658,0,805,18.26,0.23
lacomsa_enesru_llama3_8b_w-reinforce,14.21,16.65,1.31,community,1730,133,670,2,805,16.65,0.21
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,13.47,14.84,1.25,community,1591,119,685,1,805,14.84,0.18
lidr_enesru_llama3_8b_ppo,13.28,15.96,1.29,community,1933,128,676,1,805,15.96,0.26
lidr_enesru_llama3_8b_w-reinforce,12.67,17.08,1.33,community,2785,137,667,1,805,17.08,0.28
lidr_enesru_llama3_8b_w-reinforce_0.1_1.0,12.67,17.08,1.33,community,2785,137,667,1,805,17.08,0.28
lidr_enesru_llama3_8b_w-reinforce_10.0_1.0,12.58,16.34,1.30,community,2184,131,673,1,805,16.34,0.25
lidr_enesru_llama3_8b_dpo,11.69,16.02,1.29,community,3567,129,676,0,805,16.02,0.30
icr_w-reinforce_random,11.21,16.65,1.31,community,2155,134,671,0,805,16.65,0.18
mapo_w-reinforce_random_170526,9.48,12.42,1.16,community,1888,100,705,0,805,12.42,0.14
mapo_w-reinforce_random,2.63,5.22,0.78,community,1958,42,763,0,805,5.22,0.10
lidr_enesru_llama3_8b_sft,0.29,0.99,0.35,community,10481,8,797,0,805,0.99,0.02
lidr_enesru_llama3_8b_npo,0.00,0.00,0.00,community,12043,0,803,0,803,0.00,0.00
icr_enesru_llama3_8b_npo_150426,0.00,0.00,0.00,community,8166,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed44,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
