model_type        , lang, avg_length
npo_checkpoint-5  , es  ,     1672.0
npo_checkpoint-2  , es  ,     1645.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo_checkpoint-20 , es  ,     3446.0
npo               , es  ,        0.0
npo_checkpoint-30 , es  ,     9040.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
npo_checkpoint-3  , es  ,     1671.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
npo_checkpoint-2  , es  ,     1645.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
npo_checkpoint-3  , es  ,     1671.0
npo_checkpoint-4  , es  ,     1664.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
npo_checkpoint-2  , es  ,     1645.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
npo_checkpoint-3  , es  ,     1671.0
npo_checkpoint-4  , es  ,     1664.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
npo_checkpoint-5  , es  ,     1672.0
npo_checkpoint-2  , es  ,     1645.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
w-reinforce       , es  ,     1631.0
dpo               , es  ,     1808.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
w-reinforce       , es  ,     1631.0
dpo               , es  ,     1808.0
ppo               , es  ,     1724.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
