,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
mapo_enesru_llama3_8b_dpo_200426,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,22.981366459627328,1.4811343732761153,community,1835,184,619,2,805,22.981366459627328,20.53773988061065,0.3207251415238825
mapo_enesru_llama3_8b_npo_checkpoint-1,20.80745341614907,1.4275533351091618,community,1640,166,636,3,805,20.80745341614907,20.450928899609565,0.3029453597117855
lacomsa_enesru_llama3_8b_npo_checkpoint-1,20.80745341614907,1.4275533351091618,community,1640,166,636,3,805,20.80745341614907,20.450928899609565,0.30294535971178554
mapo_enesru_llama3_8b_npo_checkpoint-4,20.372670807453417,1.4150044409806857,community,1695,162,639,4,805,20.372670807453417,20.390203394207507,0.3058493272487396
icr_enesru_llama3_8b_ppo,20.18633540372671,1.4142310698763103,community,1726,162,642,1,805,20.18633540372671,20.279763813615084,0.4213929033054111
icr_enesru_llama3_8b_ppo_150426,19.875776397515526,1.4073948059218202,community,1907,160,645,0,805,19.875776397515526,20.153516852323,0.3982665840602224
lacomsa_enesru_llama3_8b_dpo,20.496894409937887,1.4209500274881883,community,1655,164,639,2,805,20.496894409937887,20.142365410915257,0.3780688505792213
lacomsa_enesru_llama3_8b_w-reinforce,20.372670807453417,1.4177316094410377,community,1657,163,640,2,805,20.372670807453417,20.110392804862272,0.3644150063318787
mapo_enesru_llama3_8b_npo_checkpoint-2,20.062111801242235,1.4082230431713711,community,1658,160,642,3,805,20.062111801242235,20.01890052012388,0.2860854822739956
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,23.354037267080745,1.4895078697072963,community,1857,187,616,2,805,23.354037267080745,19.913823625219205,0.2559897578854654
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed43,22.236024844720497,1.463889771465391,community,1774,178,625,2,805,22.236024844720497,19.725790668191,0.3043440369319079
lacomsa_enesru_llama3_8b_ppo,20.0,1.4079504262688256,community,1907,160,643,2,805,20.0,19.36581624302171,0.3675468233167983
mapo_enesru_llama3_8b_npo_checkpoint-3,19.006211180124225,1.378117314044517,community,1650,151,650,4,805,19.006211180124225,19.01227602507945,0.313874323163736
icr_enesru_llama3_8b_dpo_250426,17.267080745341616,1.3300697700548156,community,1541,138,665,2,805,17.267080745341616,18.874161666775063,0.288972150775114
lacomsa_enesru_llama3_8b_sft,18.19875776397516,1.3593125467422102,community,1875,146,658,1,805,18.19875776397516,18.059443799417107,0.37947670071325
icr_enesru_llama3_8b_sft_150426,16.956521739130434,1.3219459096391208,community,1784,136,668,1,805,16.956521739130434,17.09559653829075,0.3270930154837151
icr_enesru_llama3_8b_sft,18.13664596273292,1.3589241929038651,community,1915,146,659,0,805,18.13664596273292,16.73088827674222,0.2755432443423202
mapo_enesru_llama3_8b_ppo,10.49689440993789,1.075616147937574,community,1285,83,719,3,805,10.49689440993789,14.170708933464892,0.3067669700985325
mapo_enesru_llama3_8b_sft,7.080745341614906,0.8960355048881721,community,987,55,746,4,805,7.080745341614906,12.241964794348668,0.2740649159738333
mapo_enesru_llama3_8b_npo,13.41614906832298,1.2019997076849351,community,4516,108,697,0,805,13.41614906832298,5.871601822411838,0.0211139720230618
lacomsa_enesru_llama3_8b_npo,0.2484472049689441,0.1755694164825605,community,4796,2,803,0,805,0.2484472049689441,0.1276444537025591,0.0093391162415273
icr_enesru_llama3_8b_npo,0.0,0.0,community,9,0,805,0,805,0.0,0.0020051431011748,0.0001470993224201
